eval_type,k11_floor,q_threshold,n_pairs_kept,n_pairs_total
Human,1,0.05,88,6560
Human,1,0.01,62,6560
Human,1,0.001,27,6560
Human,3,0.05,84,6560
Human,3,0.01,59,6560
Human,3,0.001,25,6560
Human,5,0.05,77,6560
Human,5,0.01,55,6560
Human,5,0.001,24,6560
Human,10,0.05,53,6560
Human,10,0.01,41,6560
Human,10,0.001,19,6560
LaaJ,1,0.05,50,1829
LaaJ,1,0.01,33,1829
LaaJ,1,0.001,16,1829
LaaJ,3,0.05,50,1829
LaaJ,3,0.01,33,1829
LaaJ,3,0.001,16,1829
LaaJ,5,0.05,50,1829
LaaJ,5,0.01,33,1829
LaaJ,5,0.001,16,1829
LaaJ,10,0.05,31,1829
LaaJ,10,0.01,24,1829
LaaJ,10,0.001,15,1829
