metric,criterion,criterion_short,k11,k12,k21,k22,n_metric,n_criterion,n_total,lr,g2,p_value,q_value,reject_q05
bleu,cohesiveness,Cohesiveness,7,735,9,960,742,16,1711,1.0157232704402517,0.0009667598983133,0.9751955613325262,0.981328866749712,False
comet,cohesiveness,Cohesiveness,3,67,13,1628,70,16,1711,5.40989010989011,4.905241763348901,0.0267753032839995,0.4591392091143937,False
rouge,cohesiveness,Cohesiveness,4,661,12,1034,665,16,1711,0.524310776942356,1.3883729977750896,0.2386800535818365,0.8397045836745559,False
roc auc,cohesiveness,Cohesiveness,0,11,16,1684,11,16,1711,0.0,0.2073660311666123,0.6488397616095898,0.8397045836745559,False
bertscore,cohesiveness,Cohesiveness,2,360,14,1335,362,16,1711,0.5323599052880821,0.8188942889963644,0.3655036481760875,0.8397045836745559,False
distinct,cohesiveness,Cohesiveness,1,124,15,1571,125,16,1711,0.8458666666666668,0.0278405909039638,0.8674841417638852,0.8973030542370052,False
f1,cohesiveness,Cohesiveness,5,230,11,1465,235,16,1711,2.8549323017408126,3.2672831772746047,0.0706745766048132,0.7003402152984511,False
recall,cohesiveness,Cohesiveness,2,110,14,1585,112,16,1711,2.0395408163265305,0.7530561958761846,0.385510342780985,0.8397045836745559,False
meteor,cohesiveness,Cohesiveness,2,256,14,1439,258,16,1711,0.8045404208194906,0.0881667681373283,0.7665207961669658,0.8397045836745559,False
knowledge f1,cohesiveness,Cohesiveness,0,13,16,1682,13,16,1711,0.0,0.2452137455029331,0.6204655744830949,0.8397045836745559,False
acc,cohesiveness,Cohesiveness,0,11,16,1684,11,16,1711,0.0,0.2073660311666123,0.6488397616095898,0.8397045836745559,False
dae,cohesiveness,Cohesiveness,0,17,16,1678,17,16,1711,0.0,0.3210437326245412,0.5709810740349235,0.8397045836745559,False
mauve,cohesiveness,Cohesiveness,1,9,15,1686,10,16,1711,11.340000000000002,3.065101440993798,0.0799901698163747,0.7338958237698162,False
factcc,cohesiveness,Cohesiveness,0,33,16,1662,33,16,1711,0.0,0.6261735054069766,0.4287623810625888,0.8397045836745559,False
comet qe,cohesiveness,Cohesiveness,0,10,16,1685,10,16,1711,0.0,0.1884589474149465,0.6642023289309149,0.8397045836745559,False
unieval,cohesiveness,Cohesiveness,0,22,16,1673,22,16,1711,0.0,0.4160846129239681,0.5188972403132373,0.8397045836745559,False
chrf,cohesiveness,Cohesiveness,0,60,16,1635,60,16,1711,0.0,1.1477707570235876,0.2840162948763448,0.8397045836745559,False
questeval,cohesiveness,Cohesiveness,0,27,16,1668,27,16,1711,0.0,0.5114086104640917,0.4745297143801499,0.8397045836745559,False
qafacteval,cohesiveness,Cohesiveness,0,12,16,1683,12,16,1711,0.0,0.226284292787336,0.6342927622238596,0.8397045836745559,False
spearman correlation,cohesiveness,Cohesiveness,0,25,16,1670,25,16,1711,0.0,0.4732449294418805,0.4914981247988452,0.8397045836745559,False
pearson correlation,cohesiveness,Cohesiveness,0,33,16,1662,33,16,1711,0.0,0.6261735054069766,0.4287623810625888,0.8397045836745559,False
moverscore,cohesiveness,Cohesiveness,0,55,16,1640,55,16,1711,0.0,1.0505350330810852,0.3053838961257525,0.8397045836745559,False
g eval,cohesiveness,Cohesiveness,0,19,16,1676,19,16,1711,0.0,0.3590262183237863,0.5490475468665074,0.8397045836745559,False
usr,cohesiveness,Cohesiveness,0,12,16,1683,12,16,1711,0.0,0.226284292787336,0.6342927622238596,0.8397045836745559,False
bartscore,cohesiveness,Cohesiveness,0,64,16,1631,64,16,1711,0.0,1.2257726323595877,0.2682307384245605,0.8397045836745559,False
qags,cohesiveness,Cohesiveness,0,10,16,1685,10,16,1711,0.0,0.1884589474149465,0.6642023289309149,0.8397045836745559,False
perplexity,cohesiveness,Cohesiveness,4,162,12,1533,166,16,1711,3.1024096385542173,3.157863926455944,0.0755619937398186,0.7163356050869737,False
ndcg,cohesiveness,Cohesiveness,0,21,16,1674,21,16,1711,0.0,0.3970538413567302,0.5286147115806495,0.8397045836745559,False
map,cohesiveness,Cohesiveness,0,12,16,1683,12,16,1711,0.0,0.226284292787336,0.6342927622238596,0.8397045836745559,False
precision,cohesiveness,Cohesiveness,2,77,14,1618,79,16,1711,2.951175406871609,1.5899251459864598,0.2073368286944342,0.8397045836745559,False
bleurt,cohesiveness,Cohesiveness,0,110,16,1585,110,16,1711,0.0,2.1367326793568586,0.1438078907657908,0.8397045836745559,False
ter,cohesiveness,Cohesiveness,2,48,14,1647,50,16,1711,4.7457142857142856,2.9543585016783265,0.085646288477042,0.7597436777465535,False
feqa,cohesiveness,Cohesiveness,0,10,16,1685,10,16,1711,0.0,0.1884589474149465,0.6642023289309149,0.8397045836745559,False
sari,cohesiveness,Cohesiveness,0,25,16,1670,25,16,1711,0.0,0.4732449294418805,0.4914981247988452,0.8397045836745559,False
cosine similarity,cohesiveness,Cohesiveness,1,23,15,1672,24,16,1711,4.686111111111111,1.5019505227941945,0.220371485888329,0.8397045836745559,False
accuracy,cohesiveness,Cohesiveness,0,186,16,1509,186,16,1711,0.0,3.701045072516054,0.0543783984166387,0.6327228130856793,False
summac,cohesiveness,Cohesiveness,0,15,16,1680,15,16,1711,0.0,0.2831062772331043,0.594672443005476,0.8397045836745559,False
clip,cohesiveness,Cohesiveness,0,13,16,1682,13,16,1711,0.0,0.2452137455029331,0.6204655744830949,0.8397045836745559,False
cider,cohesiveness,Cohesiveness,1,75,15,1620,76,16,1711,1.4342105263157894,0.1110872761827989,0.7389096666781758,0.8397045836745559,False
exact match,cohesiveness,Cohesiveness,0,67,16,1628,67,16,1711,0.0,1.284399069392919,0.2570827022723883,0.8397045836745559,False
chrf++,cohesiveness,Cohesiveness,0,23,16,1672,23,16,1711,0.0,0.4351267091321195,0.5094840129149709,0.8397045836745559,False
blanc,cohesiveness,Cohesiveness,0,13,16,1682,13,16,1711,0.0,0.2452137455029331,0.6204655744830949,0.8397045836745559,False
diversity,cohesiveness,Cohesiveness,0,10,16,1685,10,16,1711,0.0,0.1884589474149465,0.6642023289309149,0.8397045836745559,False
coherence,cohesiveness,Cohesiveness,0,10,16,1685,10,16,1711,0.0,0.1884589474149465,0.6642023289309149,0.8397045836745559,False
clipscore,cohesiveness,Cohesiveness,0,15,16,1680,15,16,1711,0.0,0.2831062772331043,0.594672443005476,0.8397045836745559,False
