original,normalized,count
BLEU,BLEU,2380
Accuracy,ACCURACY,1938
ROUGE,ROUGE,1774
F1,F1,1136
BERTScore,BERTSCORE,880
METEOR,METEOR,676
Perplexity,PERPLEXITY,664
Exact Match,EXACT MATCH,555
Recall,RECALL,514
Precision,PRECISION,447
accuracy,ACCURACY,265
CIDEr,CIDER,242
BLEURT,BLEURT,219
COMET,COMET,204
BARTScore,BARTSCORE,121
F1-score,F1,116
WER,WER,109
Success Rate,SUCCESS RATE,107
MRR,MRR,104
Distinct,DISTINCT,99
Cosine Similarity,COSINE SIMILARITY,98
TER,TER,97
EM,EXACT MATCH,94
Pearson correlation,PEARSON CORRELATION,94
Win Rate,WIN RATE,93
Self-BLEU,SELF BLEU,88
Pass@1,PASS,86
MoverScore,MOVERSCORE,79
chrF,CHRF,79
perplexity,PERPLEXITY,79
AUC,AUC,76
SPICE,SPICE,75
SARI,SARI,73
AUROC,AUROC,68
Entropy,ENTROPY,63
MAUVE,MAUVE,63
Spearman correlation,SPEARMAN CORRELATION,63
Execution Accuracy,EXECUTION ACCURACY,62
pass@1,PASS,58
NDCG,NDCG,56
SacreBLEU,SACREBLEU,56
chrF++,CHRF++,55
recall,RECALL,54
ROUGE-L,ROUGE,53
Exact Match Accuracy,EXACT MATCH ACCURACY,52
F1 Score,F1,52
MAE,MAE,48
FactCC,FACTCC,47
NIST,NIST,47
ASR,ASR,46
ChrF,CHRF,46
precision,PRECISION,46
Diversity,DIVERSITY,45
Macro-F1,F1,45
Attack Success Rate (ASR),ATTACK SUCCESS RATE ASR,44
Recall@k,RECALL,44
Coverage,COVERAGE,43
F0.5,F0,41
MAP,MAP,41
RMSE,RMSE,41
PPL,PPL,40
Attack Success Rate,ATTACK SUCCESS RATE ASR,39
CER,CER,39
Hits@1,HITS,39
Pearson Correlation,PEARSON CORRELATION,39
Spearman Correlation,SPEARMAN CORRELATION,39
CLIPScore,CLIPSCORE,37
GLEU,GLEU,37
MMLU,MMLU,37
UniEval,UNIEVAL,37
CHRF,CHRF,34
Pass@k,PASS,34
Distinct-2,DISTINCT,33
Mean Reciprocal Rank,RECIPROCAL RANK,33
