qcet_id,qcet_l1,qcet_name,short_label,short_label_prefixed
AUX-OverallQuality,,Overall Quality / Preference,Overall Quality / Preference,Overall Quality / Preference
QEC-c-1,QE,Factual Truth,Factual Truth,[QE] Factual Truth
QEC-c-2,QE,Relative Factual Accuracy,Relative Factual Accuracy,[QE] Relative Factual Accuracy
QEC-c-3,QE,Absence of Bias / Stereotypes,Absence of Bias / Stereotypes,[QE] Absence of Bias / Stereotypes
QEC-f-1,QE,Adherence to Style Guide,Adherence to Style Guide,[QE] Adherence to Style Guide
QEC-f-2,QE,Adherence to Syntactic Rules,Adherence to Syntactic Rules,[QE] Adherence to Syntactic Rules
QEC-w-1,QE,Functional Correctness,Functional Correctness,[QE] Functional Correctness
QEC-w-2,QE,Refusal Appropriateness,Refusal Appropriateness,[QE] Refusal Appropriateness
QEF-c-1,QE,Similarity/Dissimilarity to Non-target Reference (content/meaning),Similarity to Non-target Reference (content),[QE] Similarity to Non-target Reference (content)
QEF-f-1,QE,Similarity/Dissimilarity to Non-target Reference (form),Similarity to Non-target Reference (form),[QE] Similarity to Non-target Reference (form)
QEF-w-1,QE,Similarity/Dissimilarity to Non-target Reference (outputs as a whole),Similarity to Non-target Reference,[QE] Similarity to Non-target Reference
QEF-w-10,QE,Engagingness/Interestingness,Engagingness/Interestingness,[QE] Engagingness/Interestingness
QEF-w-11,QE,Empathy / Emotional Appropriateness,Empathy / Emotional Appropriateness,[QE] Empathy / Emotional Appropriateness
QEF-w-2,QE,Effect on User Behaviour,Effect on User Behaviour,[QE] Effect on User Behaviour
QEF-w-3,QE,Effect on User Emotion,Effect on User Emotion,[QE] Effect on User Emotion
QEF-w-4,QE,Detectability of Speaker/Author Stance,Detectability of Author Stance,[QE] Detectability of Author Stance
QEF-w-5,QE,Detectability of Speaker/Author Trait,Detectability of Author Trait,[QE] Detectability of Author Trait
QEF-w-6,QE,Effect on User Opinion,Effect on User Opinion,[QE] Effect on User Opinion
QEF-w-7,QE,Effect on User Stance,Effect on User Stance,[QE] Effect on User Stance
QEF-w-8,QE,Interaction Completion Speed,Interaction Completion Speed,[QE] Interaction Completion Speed
QEF-w-9,QE,Likelihood According to External Model,Likelihood per External Model,[QE] Likelihood per External Model
QEG-c-1,QE,Naturalness (content/meaning),Naturalness (content),[QE] Naturalness (content)
QEG-c-2,QE,Appropriateness (content/meaning),Appropriateness (content),[QE] Appropriateness (content)
QEG-f-1,QE,Naturalness (form),Naturalness (form),[QE] Naturalness (form)
QEG-f-2,QE,Appropriateness (form),Appropriateness (form),[QE] Appropriateness (form)
QEG-w-1,QE,Naturalness (outputs as a whole),Naturalness,[QE] Naturalness
QEG-w-10,QE,Win Rate,Win Rate,[QE] Win Rate
QEG-w-2,QE,Appropriateness (outputs as a whole),Appropriateness,[QE] Appropriateness
QEG-w-3,QE,Usefulness (nonspecific),Usefulness,[QE] Usefulness
QEG-w-3.1,QE,Usefulness for Task/Information Need,Usefulness for Task,[QE] Usefulness for Task
QEG-w-4,QE,Goodness as Explanation of System Behaviour,Goodness as Explanation of System Behaviour,[QE] Goodness as Explanation of System Behaviour
QEG-w-5,QE,System Usability as Affected by Outputs,System Usability,[QE] System Usability
QEG-w-5.1,QE,Ease of Communication,Ease of Communication,[QE] Ease of Communication
QEG-w-5.2,QE,Task Completion Speed,Task Completion Speed,[QE] Task Completion Speed
QEG-w-6,QE,User Satisfaction as Affected by Outputs,User Satisfaction,[QE] User Satisfaction
QEG-w-7,QE,Clarity of Referents,Clarity of Referents,[QE] Clarity of Referents
QEG-w-8,QE,Performance of an Embedding/Downstream System/Component,Performance of Embedding/Downstream System,[QE] Performance of Embedding/Downstream System
QEG-w-9,QE,Multi-task Performance,Multi-task Performance,[QE] Multi-task Performance
QIC-c-1,QI,Absence of Omissions (relative to input),Absence of Omissions,[QI] Absence of Omissions
QIC-c-2,QI,Absence of Additions (relative to input),Absence of Additions,[QI] Absence of Additions
QIC-c-3,QI,Consistency with Input,Consistency with Input,[QI] Consistency with Input
QIC-c-4,QI,Coverage of Topics (given in input),Coverage of Topics,[QI] Coverage of Topics
QIC-f-1,QI,Conformance to Syntactic Structure (given in input),Conformance to Syntactic Structure,[QI] Conformance to Syntactic Structure
QIC-f-2,QI,Inclusion of Keywords (given in input),Inclusion of Keywords,[QI] Inclusion of Keywords
QIC-w-1,QI,Translation Accuracy,Translation Accuracy,[QI] Translation Accuracy
QIF-c-1,QI,"Absence of Omissions (relative to input, feature)",Absence of Omissions (feature),[QI] Absence of Omissions (feature)
QIF-c-2,QI,Similarity/Dissimilarity to Input (content/meaning),Similarity to Input (content),[QI] Similarity to Input (content)
QIF-c-3,QI,Specificity/Non-specificity (relative to input),Specificity,[QI] Specificity
QIF-f-1,QI,Control over Complexity/Non-complexity (form),Control over Complexity (form),[QI] Control over Complexity (form)
QIF-f-2,QI,Control over Style,Control over Style,[QI] Control over Style
QIF-f-2.1,QI,Control over Formality/Informality,Control over Formality,[QI] Control over Formality
QIF-f-3,QI,Output Size Relative to Input,Output Size Relative to Input,[QI] Output Size Relative to Input
QIF-f-4,QI,Similarity/Dissimilarity to Input (form),Similarity to Input (form),[QI] Similarity to Input (form)
QIF-w-1,QI,Control over Complexity/Non-complexity (outputs as a whole),Control over Complexity,[QI] Control over Complexity
QIF-w-2,QI,Control over Sentiment,Control over Sentiment,[QI] Control over Sentiment
QIF-w-3,QI,Bias Inversion,Bias Inversion,[QI] Bias Inversion
QIF-w-4,QI,Similarity/Dissimilarity to Input (outputs as a whole),Similarity to Input,[QI] Similarity to Input
QIF-w-5,QI,Control over Multiple Attributes,Control over Multiple Attributes,[QI] Control over Multiple Attributes
QIG-c-1,QI,Answerability from Input,Answerability from Input,[QI] Answerability from Input
QIG-c-3,QI,Relevance to Input,Relevance to Input,[QI] Relevance to Input
QIG-f-1,QI,Appropriateness of System Response Type,Appropriateness of System Response Type,[QI] Appropriateness of System Response Type
QIG-f-2,QI,Success of Style Transfer from Sample,Success of Style Transfer from Sample,[QI] Success of Style Transfer from Sample
QIG-w-1,QI,Parse Accuracy (reference-less),Parse Accuracy,[QI] Parse Accuracy
QIG-w-2,QI,Degree to which Output Answers Question in Input,Output Answers Question,[QI] Output Answers Question
QIG-w-3,QI,Quality as Explanation of Input,Quality as Explanation of Input,[QI] Quality as Explanation of Input
QOC-c-1,QO,Semantic Correctness,Semantic Correctness,[QO] Semantic Correctness
QOC-c-2,QO,Absence of Toxic / Harmful Content,Absence of Toxic / Harmful Content,[QO] Absence of Toxic / Harmful Content
QOC-f-1,QO,Grammaticality,Grammaticality,[QO] Grammaticality
QOC-f-2,QO,Spelling Accuracy,Spelling Accuracy,[QO] Spelling Accuracy
QOC-f-3,QO,Pronunciation Accuracy,Pronunciation Accuracy,[QO] Pronunciation Accuracy
QOC-w-1,QO,Correctness of Outputs (outputs as a whole),Correctness of Outputs,[QO] Correctness of Outputs
QOF-c-1,QO,Diversity/Non-diversity (content/meaning),Diversity (content),[QO] Diversity (content)
QOF-c-2,QO,Poeticness/Non-poeticness (content/meaning),Poeticness (content),[QO] Poeticness (content)
QOF-c-3,QO,Complexity/Non-complexity (content/meaning),Complexity (content),[QO] Complexity (content)
QOF-f-1,QO,Diversity/Non-diversity (form),Diversity (form),[QO] Diversity (form)
QOF-f-2,QO,Poeticness/Non-poeticness (form),Poeticness (form),[QO] Poeticness (form)
QOF-f-3,QO,Complexity/Non-complexity (form),Complexity (form),[QO] Complexity (form)
QOF-f-4,QO,Formality/Informality,Formality,[QO] Formality
QOF-f-5,QO,Output Length,Output Length,[QO] Output Length
QOF-w-1,QO,Diversity/Non-diversity (outputs as a whole),Diversity,[QO] Diversity
QOF-w-2,QO,Poeticness/Non-poeticness (outputs as a whole),Poeticness,[QO] Poeticness
QOF-w-3,QO,Complexity/Non-complexity (outputs as a whole),Complexity,[QO] Complexity
QOF-w-4,QO,Conversationality/Non-conversationality,Conversationality,[QO] Conversationality
QOF-w-5,QO,Humorousness/Non-humorousness,Humorousness,[QO] Humorousness
QOF-w-6,QO,Creativity/Non-creativity (outputs as a whole),Creativity,[QO] Creativity
QOG-c-1,QO,Nonredundancy (content/meaning),Nonredundancy (content),[QO] Nonredundancy (content)
QOG-c-2,QO,Informativeness,Informativeness,[QO] Informativeness
QOG-c-3,QO,Coherence,Coherence,[QO] Coherence
QOG-c-3.1,QO,Wellorderedness,Wellorderedness,[QO] Wellorderedness
QOG-c-3.2,QO,Cohesiveness,Cohesiveness,[QO] Cohesiveness
QOG-c-4,QO,Internal Consistency of Outputs,Internal Consistency of Outputs,[QO] Internal Consistency of Outputs
QOG-f-1,QO,Nonredundancy (form),Nonredundancy (form),[QO] Nonredundancy (form)
QOG-f-2,QO,Speech Quality,Speech Quality,[QO] Speech Quality
QOG-w-1,QO,Nonredundancy (output as a whole),Nonredundancy,[QO] Nonredundancy
QOG-w-2,QO,Readability,Readability,[QO] Readability
QOG-w-3,QO,Fluency,Fluency,[QO] Fluency
QOG-w-4,QO,Humanlikeness,Humanlikeness,[QO] Humanlikeness
QOG-w-4.1,QO,Native Speaker Likeness,Native Speaker Likeness,[QO] Native Speaker Likeness
QOG-w-4.2,QO,Non-AI Likeness,Non-AI Likeness,[QO] Non-AI Likeness
QOG-w-5,QO,Understandability,Understandability,[QO] Understandability
QOG-w-5.1,QO,Clarity,Clarity,[QO] Clarity
QOG-w-5.1.1,QO,Speed of Understanding,Speed of Understanding,[QO] Speed of Understanding
QTC-c-1,QT,Meaning Accuracy,Meaning Accuracy,[QT] Meaning Accuracy
QTC-f-1,QT,Form Accuracy,Form Accuracy,[QT] Form Accuracy
QTC-w-1,QT,Classification Accuracy,Classification Accuracy,[QT] Classification Accuracy
QTC-w-2,QT,Sequence Labelling Accuracy,Sequence Labelling Accuracy,[QT] Sequence Labelling Accuracy
QTC-w-3,QT,Complete Target Output Matching,Complete Target Output Matching,[QT] Complete Target Output Matching
QTC-w-3.1,QT,Complete Word Matching,Complete Word Matching,[QT] Complete Word Matching
QTC-w-3.2,QT,Character Matching,Character Matching,[QT] Character Matching
QTC-w-4,QT,Retrieval Accuracy,Retrieval Accuracy,[QT] Retrieval Accuracy
QTC-w-5,QT,Sequence Alignment Accuracy,Sequence Alignment Accuracy,[QT] Sequence Alignment Accuracy
QTC-w-6,QT,Parse Accuracy (with references),Parse Accuracy (with refs),[QT] Parse Accuracy (with refs)
QTG-c-1,QT,Similarity to Target Outputs (content/meaning),Similarity to Target Outputs (content),[QT] Similarity to Target Outputs (content)
QTG-f-1,QT,Similarity to Target Outputs (form),Similarity to Target Outputs (form),[QT] Similarity to Target Outputs (form)
QTG-w-1,QT,Similarity to Target Outputs (outputs as a whole),Similarity to Target Outputs,[QT] Similarity to Target Outputs
QTG-w-3,QT,Cross-Dataset Generalisation,Cross-Dataset Generalisation,[QT] Cross-Dataset Generalisation
