original,normalized,iso_639_1,iso_639_3,count
English,English,en,eng,7574
Chinese,Chinese,zh,zho,1106
German,German,de,deu,1031
French,French,fr,fra,684
Spanish,Spanish,es,spa,536
Russian,Russian,ru,rus,401
Japanese,Japanese,ja,jpn,318
Arabic,Arabic,ar,ara,288
Italian,Italian,it,ita,273
Hindi,Hindi,hi,hin,240
Romanian,Romanian,ro,ron,227
Turkish,Turkish,tr,tur,218
Portuguese,Portuguese,pt,por,210
Korean,Korean,ko,kor,209
Czech,Czech,cs,ces,193
Dutch,Dutch,nl,nld,176
Vietnamese,Vietnamese,vi,vie,163
Finnish,Finnish,fi,fin,161
Indonesian,Indonesian,id,ind,144
Bengali,Bengali,bn,ben,126
Polish,Polish,pl,pol,120
Thai,Thai,th,tha,113
Swahili,Swahili,,,110
Python,Python,,,101
Greek,Greek,,,100
Tamil,Tamil,ta,tam,100
Telugu,Telugu,te,tel,95
Hebrew,Hebrew,he,heb,93
Estonian,Estonian,et,est,92
Swedish,Swedish,sv,swe,87
Ukrainian,Ukrainian,uk,ukr,84
Hungarian,Hungarian,hu,hun,83
Urdu,Urdu,ur,urd,78
Bulgarian,Bulgarian,bg,bul,74
Gujarati,Gujarati,gu,guj,74
Marathi,Marathi,mr,mar,74
Persian,Persian,fa,fas,69
Lithuanian,Lithuanian,lt,lit,67
Latvian,Latvian,lv,lav,66
Danish,Danish,da,dan,64
Kazakh,Kazakh,kk,kaz,56
Slovak,Slovak,sk,slk,55
Malayalam,Malayalam,ml,mal,51
Nepali,Nepali,,,51
Croatian,Croatian,hr,hrv,48
Java,Java,,,48
Catalan,Catalan,ca,cat,47
Kannada,Kannada,kn,kan,47
Malay,Malay,,,44
Slovenian,Slovenian,sl,slv,43
Yoruba,Yoruba,yo,yor,41
Azerbaijani,Azerbaijani,az,aze,39
Basque,Basque,eu,eus,37
Norwegian,Norwegian,no,nor,36
Punjabi,Punjabi,,,36
Afrikaans,Afrikaans,af,afr,35
Amharic,Amharic,am,amh,34
Sinhala,Sinhala,si,sin,34
Serbian,Serbian,sr,srp,33
Icelandic,Icelandic,is,isl,32
Hausa,Hausa,ha,hau,31
Burmese,Burmese,my,mya,30
Macedonian,Macedonian,mk,mkd,29
Tagalog,Tagalog,tl,tgl,29
C++,C++,,,28
Galician,Galician,gl,glg,28
JavaScript,Javascript,,,27
Mongolian,Mongolian,mn,mon,26
Igbo,Igbo,ig,ibo,25
Pashto,Pashto,,,25
Somali,Somali,so,som,25
Zulu,Zulu,zu,zul,25
Assamese,Assamese,as,asm,24
Georgian,Georgian,ka,kat,23
Javanese,Javanese,jv,jav,23
Belarusian,Belarusian,be,bel,22
Welsh,Welsh,cy,cym,22
Albanian,Albanian,sq,sqi,21
Odia,Odia,,ory,21
C,C,,,20
Khmer,Khmer,km,khm,20
Latin,Latin,la,lat,19
Tigrinya,Tigrinya,ti,tir,19
Armenian,Armenian,hy,hye,18
Farsi,Persian,fa,fas,18
Maltese,Maltese,mt,mlt,18
Mandarin,Chinese,zh,zho,18
C#,C#,,,17
Go,Go,,,17
Irish,Irish,ga,gle,17
Xhosa,Xhosa,xh,xho,17
Sindhi,Sindhi,sd,snd,16
Wolof,Wolof,wo,wol,16
Bosnian,Bosnian,bs,bos,15
Multilingual,Multilingual,,,15
Quechua,Quechua,qu,que,15
Sundanese,Sundanese,su,sun,15
Filipino,Filipino,,fil,14
Kyrgyz,Kyrgyz,,,14
PHP,Php,,,14
Sanskrit,Sanskrit,sa,san,14
Egyptian Arabic,Arabic,ar,ara,13
Kinyarwanda,Kinyarwanda,rw,kin,13
Lingala,Lingala,ln,lin,13
Malagasy,Malagasy,mg,mlg,13
Tibetan,Tibetan,bo,bod,13
Esperanto,Esperanto,eo,epo,12
Lao,Lao,lo,lao,12
Tsonga,Tsonga,ts,tso,12
Twi,Twi,tw,twi,12
Uzbek,Uzbek,uz,uzb,12
Bambara,Bambara,bm,bam,11
Maithili,Maithili,,mai,11
Oromo,Oromo,om,orm,11
Ruby,Ruby,,,11
Rundi,Rundi,rn,run,11
Scottish Gaelic,Scottish Gaelic,gd,gla,11
Uyghur,Uyghur,,,11
American Sign Language,American Sign Language,,,10
Bhojpuri,Bhojpuri,,bho,10
Fon,Fon,,fon,10
Haitian Creole,Haitian Creole,,,10
Shona,Shona,sn,sna,10
Tswana,Tswana,tn,tsn,10
Brazilian Portuguese,Portuguese,pt,por,9
Cebuano,Cebuano,,ceb,9
Kurdish,Kurdish,ku,kur,9
Luganda,Luganda,,,9
Luo,Luo (Kenya and Tanzania),,luo,9
Manipuri,Manipuri,,mni,9
Occitan,Occitan,,,9
Oriya,Odia,,,9
Tatar,Tatar,tt,tat,9
Cantonese,Cantonese,yue,yue,8
Kashmiri,Kashmiri,ks,kas,8
Kikuyu,Kikuyu,ki,kik,8
Minangkabau,Minangkabau,,min,8
Santali,Santali,,sat,8
Sesotho,Sesotho,,,8
Turkmen,Turkmen,tk,tuk,8
Arapaho,Arapaho,,arp,7
Balinese,Balinese,,ban,7
Haitian,Haitian,ht,hat,7
Lezgi,Lezgi,,,7
Luxembourgish,Luxembourgish,lb,ltz,7
Maori,Maori,mi,mri,7
Modern Standard Arabic,Arabic,ar,ara,7
Rust,Rust,,,7
Slovene,Slovenian,,,7
Tajik,Tajik,tg,tgk,7
Tsez,Tsez,,,7
Yorùbá,Yoruba,,,7
Acehnese,Acehnese,,,6
Bemba,Bemba,,,6
Buginese,Buginese,,bug,6
Cherokee,Cherokee,,chr,6
Ewe,Ewe,ee,ewe,6
Gitksan,Gitksan,,,6
Kongo,Kongo,kg,kon,6
Konkani,Konkani,,,6
Multiple languages,Multilingual,,,6
Nigerian Pidgin,Nigerian Pidgin,,pcm,6
Samoan,Samoan,sm,smo,6
Sango,Sango,sg,sag,6
Simplified Chinese,Chinese,zh,zho,6
Tok Pisin,Tok Pisin,,tpi,6
TypeScript,Typescript,,,6
Akan,Akan,ak,aka,5
Asturian,Asturian,,ast,5
Awadhi,Awadhi,,awa,5
Banjar,Banjar,,bjn,5
Bashkir,Bashkir,ba,bak,5
Bodo,Bodo,,,5
Chhattisgarhi,Chhattisgarhi,,hne,5
Dogri,Dogri,,,5
Ganda,Ganda,lg,lug,5
Guarani,Guarani,gn,grn,5
Inuktitut,Inuktitut,iu,iku,5
Madurese,Madurese,,mad,5
Magahi,Magahi,,mag,5
Moroccan Arabic,Arabic,ar,ara,5
Natügu,Natügu,,ntu,5
Nuer,Nuer,,nus,5
Sardinian,Sardinian,sc,srd,5
Setswana,Setswana,,,5
Sicilian,Sicilian,,scn,5
Swift,Swift,,,5
Waray,Waray,,,5
Yiddish,Yiddish,yi,yid,5
Acholi,Acholi,,,4
Aymara,Aymara,ay,aym,4
Chokwe,Chokwe,,cjk,4
Chuvash,Chuvash,cv,chv,4
Dhivehi,Dhivehi,dv,div,4
Dzongkha,Dzongkha,dz,dzo,4
Emakhuwa,Emakhuwa,,,4
Faroese,Faroese,fo,fao,4
Fijian,Fijian,fj,fij,4
Hawaiian,Hawaiian,,haw,4
Hokkien,Min Nan Chinese,nan,nan,4
Kirundi,Kirundi,,,4
Mandarin Chinese,Chinese,zh,zho,4
Northern Sotho,Northern Sotho,,,4
Nyanja,Nyanja,ny,nya,4
Papiamento,Papiamento,,pap,4
Romansh,Romansh,rm,roh,4
Tunisian Arabic,Arabic,ar,ara,4
Uspanteko,Uspanteko,,,4
Venetian,Venetian,,vec,4
Zhuang,Zhuang,za,zha,4
isiZulu,Isizulu,,,4
Afar,Afar,aa,aar,3
Ancient Greek,Greek,el,ell,3
Ateso,Ateso,,,3
Bash,Bash,,,3
Batak Toba,Batak Toba,,bbc,3
Betawi,Betawi,,bew,3
Bislama,Bislama,bi,bis,3
Central Aymara,Central Aymara,,ayr,3
Central Kurdish,Central Kurdish,,ckb,3
Chechen,Chechen,ce,che,3
Chinese (Traditional),Chinese,,,3
Crimean Tatar,Crimean Tatar,,crh,3
Dari,Dari,,prs,3
Dinka,Dinka,,din,3
Friulian,Friulian,,fur,3
Fulah,Fulah,ff,ful,3
Gilaki,Gilaki,,glk,3
HTML,Html,,,3
Haskell,Haskell,,,3
Kabuverdianu,Kabuverdianu,,kea,3
Kachin,Kachin,,kac,3
Kimbundu,Kimbundu,,kmb,3
Latgalian,Latgalian,,ltg,3
Lean,Lean,,,3
Ligurian,Ligurian,,lij,3
Lombard,Lombard,,lmo,3
Marwari,Marwari,,mwr,3
Mizo,Mizo,,,3
Natugu,Natugu,,,3
Navajo,Navajo,nv,nav,3
Ngaju,Ngaju,,nij,3
Northern Kurdish,Northern Kurdish,,kmr,3
Pangasinan,Pangasinan,,pag,3
Pidgin,Pidgin,,,3
Réunion Creole,Reunion Creole,,,3
Sakha,Sakha,,,3
Singlish,Singlish,,,3
Sotho,Sotho,,,3
South Azerbaijani,South Azerbaijani,,azb,3
Southern Sotho,Southern Sotho,st,sot,3
Swati,Swati,ss,ssw,3
Traditional Chinese,Chinese,zh,zho,3
Tumbuka,Tumbuka,,tum,3
Yue Chinese,Yue Chinese,,yue,3
isiXhosa,Isixhosa,,,3
Achinese,Achinese,,ace,2
Adyghe,Adyghe,,ady,2
Ainu,Ainu,,,2
Akkadian,Akkadian,,akk,2
Avaric,Avaric,av,ava,2
Ayacucho Quechua,Ayacucho Quechua,,quy,2
Baluchi,Baluchi,,bal,2
Bangla,Bangla,,,2
Breton,Breton,br,bre,2
Chewa,Chewa,,,2
Chichewa,Chichewa,,,2
Chinese (Simplified),Chinese,,,2
D,D,,,2
Dargwa,Dargwa,,dar,2
Darija,Darija,,,2
Dyula,Dyula,,dyu,2
French Guianese Creole,French Guianese Creole,,,2
Fula,Fula,,,2
Garhwali,Garhwali,,gbm,2
Ge'ez,Ge'Ez,,,2
Ghomálá',Ghomálá',,bbj,2
Goan Konkani,Goan Konkani,,gom,2
Guaraní,Guarani,,,2
Halh Mongolian,Halh Mongolian,,khk,2
Haryanvi,Haryanvi,,bgc,2
Hmong,Hmong,,hmn,2
Ilocano,Ilocano,,,2
Ilokano,Ilokano,,,2
Ingush,Ingush,,inh,2
Julia,Julia,,,2
K'iche',K'iche',,quc,2
Kabiyè,Kabiyè,,kbp,2
Kabyle,Kabyle,,kab,2
Kalamang,Kalamang,,,2
Kalenjin,Kalenjin,,kln,2
Karakalpak,Karakalpak,,,2
Kirghiz,Kirghiz,ky,kir,2
Kituba,Kituba,,,2
Kotlin,Kotlin,,,2
Krio,Krio,,kri,2
Lak,Lak,,lbe,2
Lango,Lango,,,2
Lean4,Lean4,,,2
Levantine Arabic,Levantine Arabic,,,2
Louisiana Creole,Louisiana Creole,,lou,2
Lugbara,Lugbara,,lgg,2
Mazanderani,Mazanderani,,mzn,2
Mesopotamian Arabic,Mesopotamian Arabic,,acm,2
Modern Greek,Greek,el,ell,2
Mossi,Mossi,,mos,2
Multiple Programming Languages,Multiple Programming Languages,,,2
Myanmar,Myanmar,,,2
Nahuatl,Nahuatl,,,2
Najdi Arabic,Najdi Arabic,,ars,2
Ndebele,Ndebele,,,2
Nepalese,Nepalese,,,2
Nigerian Fulfulde,Nigerian Fulfulde,,fuv,2
Non-English,Non English,,,2
North Levantine Arabic,North Levantine Arabic,,apc,2
Northern Uzbek,Northern Uzbek,,uzn,2
Norwegian Bokmål,Norwegian,no,nor,2
Nyangbo,Nyangbo,,nyb,2
Nyankore,Nyankore,,,2
Objective-C,Objective C,,,2
Otomí,Otomi,,,2
Panjabi,Panjabi,pa,pan,2
Plateau Malagasy,Plateau Malagasy,,plt,2
R,R,,,2
Rajasthani,Rajasthani,,raj,2
Runyankore,Runyankore,,,2
SQL,Sql,,,2
Saramaccan,Saramaccan,,srm,2
Scala,Scala,,,2
Seychellois Creole,Seychellois Creole,,,2
Shan,Shan,,shn,2
Silesian,Silesian,,szl,2
Siswati,Siswati,,,2
Southern Quechua,Southern Quechua,,,2
Sranan Tongo,Sranan Tongo,,srn,2
Standard Arabic,Standard Arabic,,arb,2
Standard Malay,Standard Malay,,zsm,2
Tongan,Tongan,,,2
Trinidadian Creole,Trinidadian Creole,,,2
Uighur,Uighur,ug,uig,2
Umbundu,Umbundu,,umb,2
Upper Sorbian,Upper Sorbian,,hsb,2
Vincentian Creole,Vincentian Creole,,,2
West Central Oromo,West Central Oromo,,gaz,2
Western Frisian,Western Frisian,fy,fry,2
Yakut,Yakut,,sah,2
100 languages (multilingual),100 Languages,,,1
30 languages,30 Languages,,,1
47 other languages from FLoRes,47 Other Languages From Flores,,,1
50 languages paired with English,50 Languages Paired With English,,,1
56 languages total,56 Languages Total,,,1
ASL glosses,Asl Glosses,,,1
Aari,Aari,,aiw,1
Abui,Abui,,abz,1
Achi,Achi,,acr,1
African American English (AAE),African American English,,,1
African American Vernacular English,African American Vernacular English,,,1
Aghul,Aghul,,agx,1
Ahirani,Ahirani,,ahr,1
Akha,Akha,,ahk,1
Akhvakh,Akhvakh,,akv,1
Alas,Alas,,,1
Altai,Altai,,,1
Amazigh,Amazigh,,,1
Ambonese Malay,Ambonese Malay,,abs,1
Ancient Egyptian,Ancient Egyptian,,,1
Annobonese,Annobonese,,,1
Antillean Creole,Antillean Creole,,,1
Anuak,Anuak,,anu,1
Apalaí,Apalaí,,apy,1
Apinayé,Apinayé,,apn,1
Apurinã,Apurinã,,apu,1
Arabic (Egyptian),Arabic,,,1
Arabic (Gulf),Arabic,,,1
Arabic (Latin),Arabic,,,1
Arabic (Modern Standard Arabic),Arabic,,,1
Arabizi,Arabizi,,,1
Aragonese,Aragonese,an,arg,1
Archi,Archi,,aqc,1
Artificial Language,Artificial Language,,,1
Artificial emergent language,Artificial Emergent Language,,,1
Artificial languages with English-derived pseudowords,Artificial Languages With English Derived Pseudowords,,,1
Asante Twi,Asante Twi,,,1
Asháninka,Asháninka,,cni,1
Avar,Avar,,,1
Awakatek,Awakatek,,,1
Azeri Turkish,Azeri Turkish,,,1
Bafia,Bafia,,ksf,1
Bagvalal,Bagvalal,,kva,1
Bahamian Creole,Bahamian Creole,,,1
Bahasa Indonesia,Bahasa Indonesia,,,1
Bai,Bai,,,1
Bakairí,Bakairí,,bkq,1
Balochi,Balochi,,,1
Banjarese,Banjarese,,,1
Baoulé,Baoulé,,bci,1
Basketo,Basketo,,bst,1
Bassa,Bassa,,bsq,1
Bassar,Bassar,,,1
Batak Karo,Batak Karo,,btx,1
Bats,Bats,,bbl,1
Bavarian,Bavarian,,bar,1
Bench,Bench,,bcq,1
Berber,Berber,,,1
Berrice Creole,Berrice Creole,,,1
Bezhta,Bezhta,,kap,1
Bhete,Bhete,,,1
Bhilori,Bhilori,,,1
Bisu,Bisu,,bzi,1
Blackfoot,Blackfoot,,,1
Bodi,Bodi,,,1
Boko,Boko,,,1
Boro,Boro,,,1
Bororó,Bororo,,,1
Botlikh,Botlikh,,bph,1
Bribri,Bribri,,bzd,1
British Sign Language,British Sign Language,,bfi,1
Budukh,Budukh,,bdk,1
Bulu,Bulu,,,1
COBOL,Cobol,,,1
CSharp,Csharp,,,1
Canadian French,Canadian French,,,1
Cape Verdean Creole,Cape Verdean Creole,,,1
Central Atlas Tamazight,Central Atlas Tamazight,,tzm,1
Central Bikol,Central Bikol,,bcl,1
Central Kanuri,Central Kanuri,,knc,1
Central Khmer,Central Khmer,,,1
Chamalal,Chamalal,,cji,1
Chatino,Chatino,,,1
Chickasaw,Chickasaw,,cic,1
Chinese Sign Language,Chinese Sign Language,,csl,1
Chinese Simplified,Chinese Simplified,,,1
Chinese Traditional,Chinese Traditional,,,1
Chuj,Chuj,,cac,1
Chuukese,Chuukese,,chk,1
Classical Chinese,Classical Chinese,,,1
Classical Tibetan,Classical Tibetan,,xct,1
Constructed languages (French-derived and Latin-derived conlangs),Constructed Languages,,,1
Coptic,Coptic,,cop,1
Corsican,Corsican,co,cos,1
Crioulo,Crioulo,,,1
Cusco Quechua,Cusco Quechua,,quz,1
DGS glosses,Dgs Glosses,,,1
Daasanach,Daasanach,,dsh,1
Dagaare,Dagaare,,,1
Denya,Denya,,anv,1
Dholuo,Dholuo,,,1
Dialectal Arabic,Dialectal Arabic,,,1
Dimli,Dimli,,,1
Dirasha,Dirasha,,gdl,1
Dodoth,Dodoth,,,1
Dolgan,Dolgan,,dlg,1
Dominican Creole,Dominican Creole,,,1
Dorze,Dorze,,doz,1
Dyirbal,Dyirbal,,dbl,1
Eastern Armenian,Eastern Armenian,,,1
Eastern Mari,Eastern Mari,,mhr,1
Eastern Yiddish,Eastern Yiddish,,ydd,1
Elixir,Elixir,,,1
Embu,Embu,,ebu,1
Emergent language (artificial vocabulary),Emergent Language,,,1
Emergent symbolic language,Emergent Symbolic Language,,,1
En-Clone,En Clone,,,1
Erzya,Erzya,,myv,1
Euskara,Euskara,,,1
Excel formulas,Excel Formulas,,,1
Ezaa,Ezaa,,eza,1
FORTRAN,Fortran,,,1
Fang,Fang,,,1
Formal Mathematics (Lean),Formal Mathematics,,,1
Formal language (arbitrary alphabet),Formal Language,,,1
Formal: Dyck,Formal: Dyck,,,1
Fortran,Fortran,,,1
Frisian,Frisian,,,1
Fulfulde,Fulfulde,,,1
Gaelic,Gaelic,,,1
Gagauz,Gagauz,,gag,1
Gamo,Gamo,,gmv,1
Gan,Gan Chinese,,gan,1
German Sign Language,German Sign Language,,gsg,1
Germanic,Germanic,,,1
Ghanaian Pidgin,Ghanaian Pidgin,,,1
Gidar,Gidar,,gid,1
Godoberi,Godoberi,,,1
Gofa,Gofa,,gof,1
Gorani,Gorani,,,1
Gorontalo,Gorontalo,,gor,1
Gothic,Gothic,,got,1
Griko,Griko,,,1
Guadeloupean,Guadeloupean,,,1
Guadeloupean Creole,Guadeloupean Creole,,,1
Guajajára,Guajajára,,gub,1
Guaraní (East Bolivia),Guarani,,,1
Guaraní (Paraguay),Guarani,,,1
Guaraní (West Bolivia),Guarani,,,1
Guaraní Kaiowá,Guarani Kaiowa,,,1
Guaraní Mbyá,Guarani Mbya,,,1
Gulay,Gulay,,gvl,1
Gunzib,Gunzib,,,1
Guyanese Creole,Guyanese Creole,,,1
Hakka,Hakka,,,1
Hamer,Hamer,,,1
Hanja,Hanja,,,1
Hawrami,Hawrami,,,1
Hdi,Hdi,,xed,1
Hebrew (Unvocalized),Hebrew,,,1
Hijazi Arabic,Hijazi Arabic,,acw,1
Hiligaynon,Hiligaynon,,hil,1
Hindi-English Code-Mixed,Hindi English Code Mixed,,,1
Hindi-English code-mixed,Hindi English Code Mixed,,,1
Hindi-English codemixed,Hindi English Codemixed,,,1
Hinglish,Hinglish,,,1
Hinukh,Hinukh,,gin,1
Hixkaryána,Hixkaryána,,hix,1
Huishu,Huishu,,,1
Hun,Hungarian,hu,hun,1
Hñähñu,Hnahnu,,,1
IBM RPG,Ibm Rpg,,,1
Iban,Iban,,iba,1
Ibo,Igbo,ig,ibo,1
Ido,Ido,io,ido,1
Iloko,Iloko,,ilo,1
Indian Sign Language,Indian Sign Language,,ins,1
Indonesian Colloquial,Indonesian Colloquial,,,1
Interlingua,Interlingua,,,1
Iranian Persian,Iranian Persian,,pes,1
Iraqi Arabic,Iraqi Arabic,,,1
Isabelle,Isabelle,,,1
