normalized_language,total_count,num_variants,variants_with_counts
Chinese,1142,7,Chinese (1106); Mandarin (18); Simplified Chinese (6); Mandarin Chinese (4); Chinese (Traditional) (3); Traditional Chinese (3); Chinese (Simplified) (2)
German,1034,4,German (1031); Swiss German (1); Swiss-German (1); deu (1)
Spanish,537,2,Spanish (536); spa (1)
Russian,402,2,Russian (401); rus (1)
Arabic,322,10,Arabic (288); Egyptian Arabic (13); Modern Standard Arabic (7); Moroccan Arabic (5); Tunisian Arabic (4); Arabic (Egyptian) (1); Arabic (Gulf) (1); Arabic (Latin) (1); Arabic (Modern Standard Arabic) (1); ara (1)
Portuguese,219,2,Portuguese (210); Brazilian Portuguese (9)
Turkish,219,2,Turkish (218); tur (1)
Korean,210,2,Korean (209); kor (1)
Finnish,162,2,Finnish (161); fin (1)
Indonesian,145,2,Indonesian (144); ind (1)
Swahili,111,2,Swahili (110); Swahili (Congo) (1)
Greek,105,3,Greek (100); Ancient Greek (3); Modern Greek (2)
Hebrew,94,2,Hebrew (93); Hebrew (Unvocalized) (1)
Persian,88,3,Persian (69); Farsi (18); fas (1)
Hungarian,84,2,Hungarian (83); Hun (1)
Gujarati,75,2,Gujarati (74); guj (1)
Slovenian,50,2,Slovenian (43); Slovene (7)
Yoruba,48,2,Yoruba (41); Yorùbá (7)
Norwegian,39,3,Norwegian (36); Norwegian Bokmål (2); Norwegian Bokmal (1)
Basque,38,2,Basque (37); eus (1)
Amharic,35,2,Amharic (34); amh (1)
Odia,30,2,Odia (21); Oriya (9)
Igbo,26,2,Igbo (25); Ibo (1)
Zulu,26,2,Zulu (25); zul (1)
Multilingual,24,5,Multilingual (15); Multiple languages (6); Multilingual (100+ languages) (1); Multilingual (15 languages) (1); Multilingual (34 languages) (1)
Irish,18,2,Irish (17); gle (1)
Quechua,16,2,Quechua (15); que (1)
Manipuri,11,3,Manipuri (9); Manipuri (Meitei) (1); mni (1)
Guarani,10,5,Guarani (5); Guaraní (2); Guaraní (East Bolivia) (1); Guaraní (Paraguay) (1); Guaraní (West Bolivia) (1)
Cantonese,9,2,Cantonese (8); Yue (1)
Arapaho,8,2,Arapaho (7); arp (1)
Tsez,8,2,Tsez (7); ddo (1)
Ewe,7,2,Ewe (6); Éwé (1)
Natügu,6,2,Natügu (5); ntu (1)
Yiddish,6,2,Yiddish (5); Yi (1)
Aymara,5,2,Aymara (4); aym (1)
Isizulu,5,2,isiZulu (4); IsiZulu (1)
Min Nan Chinese,5,2,Hokkien (4); Min Nan Chinese (1)
Isixhosa,4,2,isiXhosa (3); IsiXhosa (1)
Navajo,4,2,Navajo (3); nav (1)
Adyghe,3,2,Adyghe (2); ady (1)
Halh Mongolian,3,2,Halh Mongolian (2); khk (1)
Lean4,3,2,Lean4 (2); lean4 (1)
Fortran,2,2,FORTRAN (1); Fortran (1)
Hindi English Code Mixed,2,2,Hindi-English Code-Mixed (1); Hindi-English code-mixed (1)
Luba-Lulua,2,2,Lua (1); Luba-Lulua (1)
Naija,2,2,Naija (1); Naija (Nigerian Pidgin) (1)
Nkonya,2,2,NKo (1); Nkonya (1)
Other,2,2,Other (1); Other (10 total languages) (1)
Tamazight,2,2,Tamazight (1); Tamazight (Tifinagh) (1)
