normalized,total_count,num_variants,variants_with_counts
gpt_4,918,3,GPT-4 (916); ChatGPT (GPT-4) (1); SyncTOD (GPT-4) (1)
gpt_4o,905,3,GPT-4o (892); GPT-4O (12); gpt-4o (1)
transformer,601,6,Transformer (594); TRANSFORMER (2); transformer (2); Neural Rewriter (Transformer) (1); POS Predictor (Transformer) (1); RLHF reward model (Transformer) (1)
bart,552,3,BART (550); GEE (BART) (1); SOV-MAS (BART) (1)
gpt_3.5_turbo,519,12,GPT-3.5-turbo (261); GPT-3.5-Turbo (176); GPT-3.5 Turbo (54); ChatGPT (gpt-3.5-turbo) (8); GPT-3.5-TURBO (8); gpt-3.5-turbo (4); ChatGPT (GPT-3.5 Turbo) (2); ChatGPT (GPT-3.5-turbo) (2); ChatGPT (GPT-3.5-TURBO) (1); ChatGPT (GPT-3.5-Turbo) (1); GPT-3.5 (gpt-3.5-turbo) (1); GPT-3.5 turbo (1)
llama_2_7b,507,25,LLaMA-2-7B (126); Llama-2-7B (123); LLaMA2-7B (77); Llama2-7B (74); Llama-2-7b (25); Llama2-7b (14); Llama 2 7B (11); LLaMA-2 7B (10); Llama-2 7B (9); LLaMA 2-7B (4); LLaMA-2 (7B) (4); LLaMA2-7b (4); Llama 2-7B (4); LLaMA-2-7b (3); LLaMa2-7B (3); Llama-2 (7B) (3); LLaMA 2 7B (2); LLaMA2 7B (2); LLaMa-2-7B (2); Llama2 7B (2); LLAMA-2-7B (1); LLAMA2-7B (1); LlaMA-2 7B (1); LlaMA-2-7B (1); Llama 2 (7B) (1)
gpt_2,506,4,GPT-2 (493); GPT2 (10); CALM (GPT-2) (2); gpt2 (1)
bert,469,3,BERT (467); PACSUM (bert) (1); Transformer (BERT) + MLP (1)
gpt_3.5,427,3,GPT-3.5 (422); ChatGPT (GPT-3.5) (4); ChatGPT-API (GPT-3.5) (1)
t_5,427,2,T5 (426); SOV-MAS (T5) (1)
llama_3_8b,391,18,Llama-3-8B (143); Llama3-8B (88); LLaMA-3-8B (67); LLaMA3-8B (43); Llama 3 8B (14); Llama-3 8B (6); Llama3-8b (6); LLaMA 3-8B (5); Llama-3-8b (5); LLaMA-3 8B (4); LLaMA3-8b (2); Llama 3-8B (2); LLAMA3-8B (1); LLaMA 3 8B (1); LLaMA-3-8b (1); LLaMA3 8B (1); LLaMa-3-8B (1); SahabatAI v1 Instruct (Llama3 8B) (1)
mistral_7b,372,6,Mistral-7B (312); Mistral 7B (38); Mistral-7b (14); Mistral (7B) (5); MISTRAL-7B (2); Mistral (mistral 7b) (1)
gpt_4o_mini,349,8,GPT-4o-mini (299); GPT-4o mini (26); GPT-4o-Mini (10); GPT-4o Mini (8); GPT-4O-MINI (3); GPT-4O MINI (1); GPT-4O-Mini (1); GPT-4O-mini (1)
llama_3.1_8b,328,18,Llama-3.1-8B (139); LLaMA-3.1-8B (57); Llama3.1-8B (49); Llama 3.1 8B (22); LLaMA3.1-8B (20); Llama 3.1-8B (8); Llama-3.1 8B (6); LLaMA 3.1 8B (5); Llama-3.1-8b (4); LLAMA3.1-8B (3); LLaMA-3.1 8B (3); Llama 3.1 (8B) (3); LLaMA 3.1-8B (2); Llama3.1 8B (2); Llama3.1-8b (2); LLaMA3.1-8b (1); LLaMa-3.1-8B (1); Llama 3.1-8b (1)
chatgpt,315,3,ChatGPT (313); IC-DST (ChatGPT) (1); SyncTOD (ChatGPT) (1)
