root,n_variants,n_targets,n80,top_share,total_occ,qualifies,reason,top_targets
alignment,162,33,11,0.243,226,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QIC-c-3(55); (none)(51); QEG-w-2(13)
similarity,79,12,5,0.263,175,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QEF-c-1(46); QTG-w-1(44); QEF-f-1(24)
accuracy,265,32,5,0.494,747,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QEC-c-1(369); QOC-w-1(128); QTC-w-1(49)
completeness,64,6,2,0.531,260,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QIC-c-1(138); (none)(113); QOC-w-1(4)
correctness,333,31,5,0.533,1139,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QOC-w-1(607); QEC-c-1(149); QOC-f-1(73)
faithful,45,9,2,0.673,257,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QIC-c-3(173); QEC-c-2(70); (none)(7)
consistency,204,16,2,0.679,638,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QOG-c-4(433); QEC-c-1(81); QIC-c-3(54)
coverage,56,6,2,0.71,155,Y,polysemous (top_share<0.8) AND impactful (occ>=150),QIC-c-4(110); QIC-c-1(35); (none)(7)
quality,249,32,2,0.79,723,Y,polysemous (top_share<0.8) AND impactful (occ>=150),(none)(571); QIC-w-1(27); QOG-f-2(18)
relevant,26,7,3,0.591,44,N,total_occ=44 < 150,QIG-c-3(26); (none)(7); QIC-c-2(6)
usability,12,2,2,0.762,21,N,total_occ=21 < 150,QEG-w-5(16); (none)(5)
truth,22,6,2,0.765,81,N,total_occ=81 < 150,QEC-c-1(62); QTC-w-3(8); QTG-w-1(4)
diversity,40,4,2,0.798,119,N,total_occ=119 < 150,QOF-w-1(95); QOF-f-1(10); QOF-c-1(8)
usefulness,23,3,1,0.829,70,N,top_share=0.83 >= 0.80; total_occ=70 < 150,QEG-w-3(58); QEG-w-3.1(11); QEG-w-4(1)
specificity,14,3,1,0.894,85,N,top_share=0.89 >= 0.80; total_occ=85 < 150,QIF-c-3(76); (none)(7); QIC-c-2(2)
relevance,171,10,1,0.929,1008,N,top_share=0.93 >= 0.80,QIG-c-3(936); (none)(34); QEG-w-2(14)
naturalness,24,5,1,0.934,226,N,top_share=0.93 >= 0.80,QEG-w-1(211); QEG-f-1(10); QOG-c-3(2)
helpful,24,4,1,0.941,354,N,top_share=0.94 >= 0.80,QEG-w-3(333); QEG-w-3.1(17); QEG-w-4(3)
coherence,77,8,1,0.965,711,N,top_share=0.96 >= 0.80,QOG-c-3(686); (none)(18); QIC-c-3(2)
factuality,12,3,1,0.973,184,N,top_share=0.97 >= 0.80,QEC-c-1(179); (none)(3); QEC-c-2(2)
fluency,27,3,1,0.99,941,N,top_share=0.99 >= 0.80,QOG-w-3(932); (none)(8); QOG-c-3(1)
creativity,5,1,1,1.0,88,N,top_share=1.00 >= 0.80; total_occ=88 < 150,(none)(88)
